BiblioID,Title,Author,Material,Pub,Desc,Subj,DDC,Type,Lib,Shelf,CallNo,Copy,Status,Barcode
608001,"Adam Smith's System of Liberty, Wealth, and Virtue:The Moral and Political Foundations of the Wealth of Nations","By: Fitzgibbons, Athol",Text,"Oxford University Press, Incorporated",N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9238
608002,Advanced Charting Techniques for High Probability Trading:The Most Accurate and Predictive Charting Method Ever Created,"By: Hooper, Joseph R",Text,"John Wiley AND Sons, Incorporated",N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9239
608003,A Clinician's Guide to Treating OCD:The Most Effective CBT Approaches for Obsessive-Compulsive Disorder,"By: van Niekerk, Jan",Text,New Harbinger Publications,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9240
608004,A / B Testing:The Most Powerful Way to Turn Clicks into Customers,"By: Siroker, Dan",Text,"John Wiley AND Sons, Incorporated",N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9241
608006,A Splurch in the Kisser:The Movies of Blake Edwards,"By: Wasson, Sam",Text,Wesleyan University Press,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9243
608005,A Gorgon's Mask:The Mother in Thomas Mann's Fiction,"By: Lawson, Lewis A",Text,BRILL,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9242
608008,Aesthetics after Darwin:The Multiple Origins and Functions of the Arts,"By: Menninghaus, Winfried",Text,Academic Studies Press,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9245
608007,A Caribbean Forest Tapestry:The Multidimensional Nature of Disturbance and Response,"By: Brokaw, Nicholas",Text,"Oxford University Press, Incorporated",N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9244
608009,Against Obligation:The Multiple Sources of Authority in a Liberal Democracy,"By: Greene, Abner S",Text,Harvard University Press,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9246
608011,Adrian Willaert and the Theory of Interval Affect:The Musica Nova Madrigals and the Novel Theories of Zarlino and Vicentino,"By: McKinney, Timothy R",Text,Taylor AND Francis Group,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9248
608012,A History of Women's Prisons in England:The Myth of Prisoner Reformation,"By: Menis, Susanna",Text,Cambridge Scholars Publishing,N/A,Library catalog Title Author ISBN ISSN Series Call number,N/A,E-BOOK,"Vellore Institute of Technology, Vellore",N/A,N/A,N/A,Available,EBS9249
